id,level,prompt,expected_table_count,expected_joins,status,before_status,readiness_status,readiness_reason,live_status,live_reason,model_calls,seconds
P00001,1,Ocak 2022 satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.023
P00002,1,Ocak 2022 için satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0075
P00003,1,Ocak 2022 satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0072
P00004,1,Ocak 2022 toptan satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0095
P00005,1,Ocak 2022 için toptan satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0103
P00006,1,Ocak 2022 dönemindeki toptan satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.01
P00007,1,Ocak 2022 perakende satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0102
P00008,1,Ocak 2022 perakende satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0108
P00009,1,Ocak 2022 dönemindeki perakende satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0099
P00010,1,Ocak 2022 satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00011,1,Ocak 2022 satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0077
P00012,1,Ocak 2022 dönemindeki satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00013,1,Ocak 2022 için toptan satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0082
P00014,1,Ocak 2022 toptan satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0095
P00015,1,Ocak 2022 perakende satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00016,1,Ocak 2022 için perakende satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00017,1,Ocak 2022 dönemindeki perakende satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.0093
