id,prompt,status,metric,level,entity_count,physical_table_count,answer_rows,reference_rows,numeric_match,api_seconds,seconds,catalog_version,catalog_hash,runtime_stage,app_sha256,answer_sha256,reference_sha256
P09602,"Ocak 2026 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında satılan adet göster.",LIVE_PASS,satılan adet,5,8,15,65379,65379,True,11.037,50.98,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0e23bad5176d753c89aa45d1e67d500b48f83abffe2db0b08bcb4424b4c22e20,0e23bad5176d753c89aa45d1e67d500b48f83abffe2db0b08bcb4424b4c22e20
P09636,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Şubat 2026 satılan adet hesapla.",LIVE_PASS,satılan adet,5,8,15,76942,76942,True,19.29,50.56,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,b435cd6c3711fcbec3b1239a0c400d9dcd448c2fe36900fd4db132066683fdd5,b435cd6c3711fcbec3b1239a0c400d9dcd448c2fe36900fd4db132066683fdd5
P08802,"Ocak 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında satılan adet göster.",LIVE_PASS,satılan adet,5,8,15,61865,61865,True,1.314,26.8,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,fd2a0235cb8b52ca64e53023e8303709d38bc9e3500964ed9285b994988b44d8,fd2a0235cb8b52ca64e53023e8303709d38bc9e3500964ed9285b994988b44d8
P08808,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Ocak 2024 perakende satılan adet hesapla.",LIVE_PASS,satılan adet,5,8,15,10798,10798,True,2.968,8.51,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,03059deb3e0bf3eddb539cb0d9eec28766dbfdae58268aa409d54b8d47973f1a,03059deb3e0bf3eddb539cb0d9eec28766dbfdae58268aa409d54b8d47973f1a
P08810,"Ocak 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında satış tutarı nedir?",LIVE_PASS,satış tutarı,5,8,15,61865,61865,True,6.502,29.77,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,7ed31cc9008ecd76884a0915a0c55ad8a326a162bd241f653813d1934121b888,7ed31cc9008ecd76884a0915a0c55ad8a326a162bd241f653813d1934121b888
P08816,"Ocak 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış tutarı göster.",LIVE_PASS,satış tutarı,5,8,15,10798,10798,True,3.241,7.85,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,3ed0af654e1e6eac9400e499215c940e78a8da1bed3825cad6d6dc354b35c09c,3ed0af654e1e6eac9400e499215c940e78a8da1bed3825cad6d6dc354b35c09c
P08818,"Ocak 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında satış satırı sayısı nedir?",LIVE_PASS,satış satırı sayısı,5,8,15,61865,61865,True,8.496,32.01,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,134718977c18d4b44b7d742f85c010e63191aa19a2d20cc631bc5773bf15f383,134718977c18d4b44b7d742f85c010e63191aa19a2d20cc631bc5773bf15f383
P08824,"Ocak 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış satırı sayısı göster.",LIVE_PASS,satış satırı sayısı,5,8,15,10798,10798,True,3.132,8.24,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,f106b15e4f2f4b6620b5dd96e93b96e52fd438ab4942d61046d8655107110439,f106b15e4f2f4b6620b5dd96e93b96e52fd438ab4942d61046d8655107110439
P08826,"Ocak 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında net satış tutarı nedir?",LIVE_PASS,net satış tutarı,5,8,15,68482,68482,True,6.154,33.36,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,d1dff6a48f61891008e052e8d207241dddd19b5d9877062e3a620ec927bb96db,d1dff6a48f61891008e052e8d207241dddd19b5d9877062e3a620ec927bb96db
P08832,"Ocak 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı nedir?",LIVE_PASS,net satış tutarı,5,8,15,10798,10798,True,3.051,8.0,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,3ed0af654e1e6eac9400e499215c940e78a8da1bed3825cad6d6dc354b35c09c,3ed0af654e1e6eac9400e499215c940e78a8da1bed3825cad6d6dc354b35c09c
